source,date,fund,fund_ticker,bbg_ticker,optticker,shares_cust,quantity,category_description,asset_group,price,market_value,cusip,maturity_date
umb,2026-05-14,P2726,P2726,P2726,C US 05/15/26 C126,-2.0,-2.0,OPTC_EQY,,0.45,-90.0,69999MWJ4,
umb,2026-05-14,P2726,P2726,P2726,CAT US 05/15/26 C895,-1.0,-1.0,OPTC_EQY,,25.55,-2555.0,6ZI991M79,
umb,2026-05-14,P2726,P2726,P2726,CB US 05/15/26 C320,-4.0,-4.0,OPTC_EQY,,1.18,-470.0,3I099IUC2,
umb,2026-05-14,P2726,P2726,P2726,CL US 05/15/26 C88,-1.0,-1.0,OPTC_EQY,,1.15,-115.0,5Y599IZ84,
umb,2026-05-14,P2726,P2726,P2726,CMCSA US 05/15/26 C25.5,-5.0,-5.0,OPTC_EQY,,0.15,-75.0,6E599WLN8,
umb,2026-05-14,P2726,P2726,P2726,COP US 05/15/26 C114,-3.0,-3.0,OPTC_EQY,,5.2,-1560.0,6IP99QJ86,
umb,2026-05-14,P2726,P2726,P2726,COST US 05/15/26 C1005,-1.0,-1.0,OPTC_EQY,,35.65,-3565.0,6T599I397,
umb,2026-05-14,P2726,P2726,P2726,CRM US 05/15/26 C182.5,-2.0,-2.0,OPTC_EQY,,0.04,-9.0,69C99IT87,
umb,2026-05-14,P2726,P2726,P2726,CSCO US 05/15/26 C96,-18.0,-18.0,OPTC_EQY,,19.48,-35055.0,6QI992AD7,
umb,2026-05-14,P2726,P2726,P2726,CVS US 05/15/26 C90,-3.0,-3.0,OPTC_EQY,,7.25,-2175.0,5QT99Q648,
umb,2026-05-14,P2726,P2726,P2726,CVX US 05/15/26 C180,-4.0,-4.0,OPTC_EQY,,6.38,-2550.0,53I994XU2,
umb,2026-05-14,P2726,P2726,P2726,DE US 05/15/26 C575,-1.0,-1.0,OPTC_EQY,,6.4,-640.0,6J599IXV7,
umb,2026-05-14,P2726,P2726,P2726,DHR US 05/15/26 C170,-1.0,-1.0,OPTC_EQY,,0.1,-10.0,65099FL58,
umb,2026-05-14,P2726,P2726,P2726,DIS US 05/15/26 C108,-2.0,-2.0,OPTC_EQY,,0.09,-18.0,67199VTH4,
umb,2026-05-14,P2726,P2726,P2726,DUK US 05/15/26 C125,-3.0,-3.0,OPTC_EQY,,0.18,-52.5,48Q99IEI0,
