fund_ticker,bbg_ticker,date,analysis_type,optticker,maturity,figi,occ_symbol,equity_underlying_ticker,equity_underlying_price,delta,strike,nav_shares,iiv_shares,trade_rebal,price,option_notional_value,option_market_value,option_delta_adjusted_notional,option_delta_adjusted_market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME,REGULATORY_STRUCTURE,SECURITY_TYP
P2726,P2726,2026-05-14,eod,CVX US 05/15/26 C180,2026-05-15,,CVX   260515C00180000,CVX,186.64,1.0,180.0,-4,,,6.28,-74656.0,-2512.0,-74656.0,-2512.0,Energy,"Oil, Gas & Consumable Fuels",Energy,,Common Stock
P2726,P2726,2026-05-14,eod,DE US 05/15/26 C575,2026-05-15,,DE    260515C00575000,DE,574.64,0.500697,575.0,-1,,,8.07,-57464.0,-807.0,-28772.052408,-404.062479,Industrials,Machinery,Capital Goods,,Common Stock
P2726,P2726,2026-05-14,eod,DHR US 05/15/26 C170,2026-05-15,,DHR   260515C00170000,DHR,164.54,0.102809,170.0,-1,,,0.1,-16454.0,-10.0,-1691.619286,-1.02809,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock
P2726,P2726,2026-05-14,eod,DIS US 05/15/26 C108,2026-05-15,,DIS   260515C00108000,DIS,105.42,0.098876,108.0,-2,,,0.07,-21084.0,-14.0,-2084.701584,-1.384264,Communication Services,Entertainment,Media & Entertainment,,Common Stock
P2726,P2726,2026-05-14,eod,DUK US 05/15/26 C125,2026-05-15,,DUK   260515C00125000,DUK,124.31,0.191866,125.0,-3,,,0.18,-37293.0,-54.0,-7155.258738,-10.360764,Utilities,Electric Utilities,Utilities,,Common Stock
P2726,P2726,2026-05-14,eod,ELV US 05/15/26 C380,2026-05-15,,ELV   260515C00380000,ELV,396.71,0.928673,380.0,-1,,,16.1,-39671.0,-1610.0,-36841.386583,-1495.16353,Health Care,Health Care Providers & Services,Health Care Equipment & Services,,Common Stock
P2726,P2726,2026-05-14,eod,EMR US 05/15/26 C141,2026-05-15,,EMR   260515C00141000,EMR,137.88,0.243135,141.0,-1,,,0.7,-13788.0,-70.0,-3352.34538,-17.01945,Industrials,Electrical Equipment,Capital Goods,,Common Stock
P2726,P2726,2026-05-14,eod,ETN US 05/15/26 C402.5,2026-05-15,,ETN   260515C00402500,ETN,408.1,0.741303,402.5,-1,,,7.6,-40810.0,-760.0,-30252.57543,-563.39028,Industrials,Electrical Equipment,Capital Goods,,Common Stock
P2726,P2726,2026-05-14,eod,GE US 05/15/26 C297.5,2026-05-15,,GE    260515C00297500,GE,291.54,0.213635,297.5,-3,,,0.72,-87462.0,-216.0,-18684.94437,-46.14516,Industrials,Aerospace & Defense,Capital Goods,,Common Stock
P2726,P2726,2026-05-14,eod,GILD US 05/15/26 C131,2026-05-15,,GILD  260515C00131000,GILD,132.06,0.628073,131.0,-2,,,1.93,-26412.0,-386.0,-16588.664076,-242.436178,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock
